Sample,Genotype,Generation,Treatment,Repetition,Group,Tissue,Exist,Phenological_stage
Dolores_249_S3,5000,Mt,W,1,5000_Mt_W,Leaf,YES,A
250_S2,5000,Mt,W,2,5000_Mt_W,Leaf,YES,A
251_S3,5000,Mt,W,3,5000_Mt_W,Leaf,YES,A
Dolores_257_S5,8008,Mt,W,1,8008_Mt_W,Leaf,YES,A
258_S5,8008,Mt,W,2,8008_Mt_W,Leaf,YES,A
Dolores_259_S6,8008,Mt,W,3,8008_Mt_W,Leaf,YES,A
156_S22,5000,Mm,W,1,5000_Mm_W,Leaf,YES,A
154_S28,5000,Mm,W,2,5000_Mm_W,Leaf,YES,A
155_S11,5000,Mm,W,3,5000_Mm_W,Leaf,YES,A
161_S13,8008,Mm,W,1,8008_Mm_W,Leaf,YES,A
162_S20,8008,Mm,W,2,8008_Mm_W,Leaf,YES,A
163_S7,8008,Mm,W,3,8008_Mm_W,Leaf,YES,A
157_S12,5000,Mt,D1,1,5000_Mt_D1,Leaf,YES,A
D158_S48,5000,Mt,D1,2,5000_Mt_D1,Leaf,NO,A
159_S5,5000,Mt,D1,3,5000_Mt_D1,Leaf,NO,A
165_a_S40,8008,Mt,D1,1,8008_Mt_D1,Leaf,YES,A
166_S23,8008,Mt,D1,2,8008_Mt_D1,Leaf,YES,A
168_S25,8008,Mt,D1,3,8008_Mt_D1,Leaf,YES,A
253_S41,5000,Mm,D1,1,5000_Mm_D1,Leaf,YES,A
254_S7,5000,Mm,D1,2,5000_Mm_D1,Leaf,NO,A
255_S8,5000,Mm,D1,3,5000_Mm_D1,Leaf,NO,A
261_S9,8008,Mm,D1,1,8008_Mm_D1,Leaf,NO,A
262_S10,8008,Mm,D1,2,8008_Mm_D1,Leaf,NO,A
263_S11,8008,Mm,D1,3,8008_Mm_D1,Leaf,NO,A
221_S19,5000,Mt,D3,1,5000_Mt_D3,Leaf,YES,A
222_S6,5000,Mt,D3,2,5000_Mt_D3,Leaf,NO,A
223_S42,5000,Mt,D3,3,5000_Mt_D3,Leaf,YES,A
230_S15,8008,Mt,D3,1,8008_Mt_D3,Leaf,YES,A
D231_D46,8008,Mt,D3,2,8008_Mt_D3,Leaf,NO,A
232_S8,8008,Mt,D3,3,8008_Mt_D3,Leaf,YES,A
9_S15,5000,Mm,D3,1,5000_Mm_D3,Leaf,NO,A
10_S16,5000,Mm,D3,2,5000_Mm_D3,Leaf,NO,A
11_S1,5000,Mm,D3,3,5000_Mm_D3,Leaf,YES,A
13_S17,8008,Mm,D3,1,8008_Mm_D3,Leaf,NO,A
X_14,8008,Mm,D3,2,8008_Mm_D3,Leaf,NO,A
15_S18,8008,Mm,D3,3,8008_Mm_D3,Leaf,NO,A
33_S2,5000,Fw,W,1,5000_Fw_W,Leaf,YES,A
34_S19,5000,Fw,W,2,5000_Fw_W,Leaf,NO,A
35_S9,5000,Fw,W,3,5000_Fw_W,Leaf,YES,A
D33_S40,5000,Fw,D1,1,5000_Fw_D1,Leaf,NO,A
42_S39,5000,Fw,D1,2,5000_Fw_D1,Leaf,YES,A
D43_S52,5000,Fw,D1,3,5000_Fw_D1,Leaf,NO,A
53_S10,5000,Ft,D1,1,5000_Ft_D1,Leaf,YES,A
D54_S53,5000,Ft,D1,2,5000_Ft_D1,Leaf,NO,A
X_55,5000,Ft,D1,3,5000_Ft_D1,Leaf,NO,A
65_S3,5000,Fm,D1,1,5000_Fm_D1,Leaf,YES,A
66_S4,5000,Fm,D1,2,5000_Fm_D1,Leaf,YES,A
67_S5,5000,Fm,D1,3,5000_Fm_D1,Leaf,YES,A
D69_S47,8008,Fw,W,1,8008_Fw_W,Leaf,NO,A
70_S34,8008,Fw,W,2,8008_Fw_W,Leaf,YES,A
D71_S54,8008,Fw,W,3,8008_Fw_W,Leaf,NO,A
X_77,8008,Fw,D1,1,8008_Fw_D1,Leaf,NO,A
79_S2,8008,Fw,D1,2,8008_Fw_D1,Leaf,NO,A
79_S6,8008,Fw,D1,3,8008_Fw_D1,Leaf,YES,A
89_S30,8008,Ft,D1,1,8008_Ft_D1,Leaf,YES,A
D66_S41,8008,Ft,D1,2,8008_Ft_D1,Leaf,NO,A
91_S37,8008,Ft,D1,3,8008_Ft_D1,Leaf,YES,A
101_S20,8008,Fm,D1,1,8008_Fm_D1,Leaf,NO,A
102_S3,8008,Fm,D1,2,8008_Fm_D1,Leaf,NO,A
103_S4,8008,Fm,D1,3,8008_Fm_D1,Leaf,NO,A
21DH5_S21,5000,G1,D,1,5000_Maturation_D,Bud,YES,Maturation
21DH8_S24,8008,G1,D,1,8008_Maturation_D,Bud,YES,Maturation
22DH5_S22,5000,G1,D,2,5000_Maturation_D,Bud,YES,Maturation
22DH8_S25,8008,G1,D,2,8008_Maturation_D,Bud,YES,Maturation
23DH5_S23,5000,G1,D,3,5000_Maturation_D,Bud,YES,Maturation
23DH8_S26,8008,G1,D,3,8008_Maturation_D,Bud,YES,Maturation
FIDH15000_S27,5000,G1,D,1,5000_Tillering_D,Bud,YES,Tillering
FIDH1800_S30,8008,G1,D,1,8008_Tillering_D,Bud,YES,Tillering
FIDH25000_S28,5000,G1,D,2,5000_Tillering_D,Bud,YES,Tillering
FIDH28000_S31,8008,G1,D,2,8008_Tillering_D,Bud,YES,Tillering
FIDH35000_S29,5000,G1,D,3,5000_Tillering_D,Bud,YES,Tillering
FIDH38000_S32,8008,G1,D,3,8008_Tillering_D,Bud,YES,Tillering
F25C1_S6,5000,G1,W,1,5000_Maturation_W,Bud,YES,Maturation
F25C2_S7,5000,G1,W,2,5000_Maturation_W,Bud,YES,Maturation
F25C3_S8,5000,G1,W,3,5000_Maturation_W,Bud,YES,Maturation
F28C1_S9,8008,G1,W,1,8008_Maturation_W,Bud,YES,Maturation
F28C2_S10,8008,G1,W,2,8008_Maturation_W,Bud,YES,Maturation
F28C3_S11,8008,G1,W,3,8008_Maturation_W,Bud,YES,Maturation
